,gr,ug,ugsp,irt,ski,cgp,cert,certc,mas
377,Female,B.Com,Computer Science Engineering,Financial Analysis,Accounting Skills;Business Knowledge;Finance related skills;People management,0.380952381,0,Handicraft ,masters in Accounting 
379,Female,BA,Computer Science Engineering,Teaching,Teaching ,0.428571429,1,Dled,Master in political science 
390,Male,BE,Computer Science Engineering,Financial Analysis,"ML, Python, Analytic Thinking, SQL, Excel, Problem Solving skills, Tableau, Risk Managing",0.53968254,1,Data science course completion,Masters in Data Analytics
393,Female,BE,Computer applications ,Research;Data analytics;Data scientist;All fields related to Data science.,Active Listening;Gathering Information;Problem Solving skills;MATLAB;Good communication skills;Teaching,0.73015873,1,C and C++,MAsters in control and instrumentation engineering 
405,Male,B.Com,ECR,Financial Analysis,"Accounting Skills, Analytic Thinking, Gathering Informing, People Management, Communication Skills, Work under Pressure, Leadership, Cost Accounting, Team work, Excel, Interpersonal Skills, Problem Solving skills",0.523809524,0,No,Masters in Business Administration
406,Female,B.Tech,Accountancy,Technology,"AI, ML, Python, Analytic Thinking, Gathering Informing, SQL, Team work, Excel, Tableau",0.492063492,1,Data science professional course,Masters in Computer Science
415,Male,B.Sc,Electrical and Electronics Engineering,"Research, Technology","Python, People Management, Leadership, Creativity Skills, Team work, Observation Skills, Risk Managing",0.841269841,1,C language,Masters in Data Science
416,Female,B.Com,Computer Science Engineering,Financial Analysis;Sales/Marketing;Govt. Job;Game industry;Digital marketing;Web development;Market reserach;Industires;Design,Accounting Skills;Programming Language skills;Business Knowledge;Finance related skills;People management;Risk management skills,0.476190476,1,CCC,Master in commerce
419,Female,BA,Mechanical Engineering,Social Justice;Understand human behaviour;Gardening,Active Listening;Critical Thinking;Product knowledge;Presentation Skills;Artificial Intelligence;Good communication skills;Teaching,0.301587302,1,PGDCA and Screen printing,Masters in english
427,Female,BCA,PHYSICS ,Technology,Python;Java,0.682539683,1,Data Science and Machine Learning,MCA
449,Male,B.Sc,Biotechnology,Technology,"Python, SQL, Programming",0.777777778,0,No,Masters in Computer Applications
451,Female,B.Sc,English,Web Designing,Programming Language skills;Communication skills;Leadership;Editing;Designing skills;Writing skills;C++;SQL,0.682539683,0,No,Masters in Computer Science
488,Male,B.Tech,Automobile Engineering,SAFETY,"Business Knowledge, People Management, Work under Pressure, Leadership, Team work, Interpersonal Skills, Wealth Management, Risk Managing",0.507936508,1,BUILDING YOUR LEADERSHIP SKILLS,mtech automobile engg
491,Male,B.Sc,Computer,"Take risk for Profits, Teaching, Technology, Entrepreneurship, Understand Human Behaviour","Critical Thinking, Analytic Thinking, Gathering Informing, Business Knowledge, People Management, Negotiation Skills, Work under Pressure, Leadership, Editing, Product Knowledge, Market Study, Team work, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, C++, Problem Solving skills, Observation Skills, Risk Managing, Reading",0.603174603,0,No,Masters in Computer Applications
494,Male,B.Tech,computer science engineering,Further Studies,NO,0.365079365,0,No,M.Tech ( Master of Technology )
499,Female,B.Tech,Mechanical Engineering,"Teaching, Software and hardware engineering jobs","Python, Writing, Observation Skills, Reading, Subject Knowledge, C language",0.714285714,0,No,Mtech Mechanical Engg
501,Male,B.Com,Electrical and Electronics Engineering,Financial Analysis,"Accounting Skills, Excel",0.634920635,1,NPTL,Masters in Business Administration
506,Male,BBA,Computer,Sales/Marketing,"Work under Pressure, Leadership, Creativity Skills, Interpersonal Skills, Presentation Skills, Problem Solving skills",0.587301587,0,No,Masters in Business Administration
515,Male,B.Sc,Information TechNAlogy,"Research, Technology, Trading","Python, Analytic Thinking, People Management, Leadership, Excel, Logical Skills, Problem Solving skills",0.777777778,1,PGDCA,Masters in Business Administration
516,Male,B.Sc,Mathematics,Technology,"Excel, Writing, Reading",0.650793651,1,PGDCA,Masters in Science
518,Female,BCA,computer science Engineering,Web Designing,Designing skills;PHP,0.46031746,0,No,MCA
523,Female,B.Tech,BiotechNAlogy,Business analytics ,"Active Listening, Business Knowledge, Communication Skills, Leadership, Interpersonal Skills, Presentation Skills, Problem Solving skills, Reading, Designing Skills",0.476190476,0,No,Masters in Business Analytics
555,Male,BCA,Electronics and Communication Engineering,Research;Technology,Programming Language skills;Critical Thinking;Business Knowledge;Analytical Skills;Communication skills;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;R;Linux;Python;Artificial Intelligence;SQL,0.476190476,1,Python Django,MCA
557,Female,BBA,Mechanical Engineering,Technology,Communication skills,0.396825397,0,No,Mba
560,Female,B.Tech,Physics ,Technology;Data analytics;Game industry;Data scientist;Information Technology;Excel,Programming Language skills;Communication skills;Writing skills;C++;Presentation Skills;R;Linux;Python;SQL;Good communication skills;Teaching;Programming Language C;Teaching experience,0.650793651,0,No,master in general computer science
562,Female,B.Com,Electronics and Communication Engineering,Financial Analysis,"Accounting Skills, ML, Python",0.555555556,0,No,Masters in Accounting
564,Female,B.A,English,Further Studies,NO,0.650793651,0,No,MA english
570,Female,BA,Principles of Programming Through C Language,Teaching;Govt. Job,Teaching,0.238095238,1,ACCP,Masters in education and english
575,Female,B.Sc,Law,Sales/Marketing;Retailer;Market reserach,Active Listening;Artistic/Creative Skills;Communication skills;Machine Learning skills;Sales,0.619047619,0,No,Masters in fashion designing 
579,Male,B.Com,Computer Science  Engineering,"Sales/Marketing, Entrepreneurship","Business Knowledge, Risk Managing, Reporting",0.746031746,0,No,Masters in Accounting
583,Male,BA,Psychology,Further Studies,NO,0.571428571,0,No,M.Tech ( Master of Technology )
585,Male,B.Com,Commerce,Sales/Marketing,"Accounting Skills, Negotiation Skills, Work under Pressure, Logical Skills",0.492063492,0,No,Masters in Business Administration
588,Male,BBA,Marketing analyticsÃŠ,Marketing ,Leadership,0.523809524,1,Dmm ,Masters in marketing analytics 
603,Male,B.Com,Economics,Financial Analysis,Accounting Skills;Editing,0.53968254,0,No,Masters in business
606,Female,B.Sc,Applied Geology ,Govt. Job,C++,0.682539683,1,Pgdca ,Masters in applied geology
615,Male,B.Tech,Engineering,"Research, Sales/Marketing, Entrepreneurship, Operations","Critical Thinking, Analytic Thinking, People Management, Work under Pressure, Product Knowledge, Market Study, Team work, Excel, Interpersonal Skills, Problem Solving skills, Sales",0.555555556,1,Operations and supply chain management,Masters in Business Administration
625,Male,B.Tech,Civil engineering,Technology;Data analytics;Data scientist,Analytical Skills;Python;SQL,0.507936508,1,Certificate program in Data science,Structural engineering
631,Female,BBA,Accountancy,Financial Analysis,Business Knowledge,0.492063492,0,No,Masters in Accounting
633,Female,B.Tech,Computer Science Engineering,Technology,"Python, Java, SQL, C++",0.53968254,0,No,Masters in Computer Science
639,Male,BE,Electrical and Electronics,Further Studies,NO,0.555555556,0,No,M.Tech ( Master of Technology )
645,Male,B.Tech,Information TechNAlogy,Technology,"Java, Programming",0.523809524,0,No,Masters in Business Analytics
647,Female,BCA,Electronics & Telecommunications Engineering,Sales/Marketing,Leadership;Designing skills;Writing skills;C++;Hospitality,0.396825397,0,No,mtech cs
650,Male,BE,computer science Engineering,Higher Studies,"Communication Skills, Leadership, Team work, Excel, Interpersonal Skills, Presentation Skills, Subject Knowledge, AutoCAD, CATIA",0.714285714,1,CAD Courses - CATIA,Masters in CS
658,Female,B.Com,Computer Science Engineering,Entrepreneurship,"Accounting Skills, Interpersonal Skills, Presentation Skills",0.761904762,1,Diploma course in Digital Marketing ,Masters in Accounting
660,Male,B.Tech,Mechanical Engineering,Technology,"AI, ML, Python",0.571428571,1,Python,Masters in Data Science
661,Female,B.Tech,Accountancy,"Teaching, Technology, Entrepreneurship","Business Knowledge, Leadership, News Gathering, Team work, Interpersonal Skills, Presentation Skills, Problem Solving skills",0.476190476,0,not done any,Masters in Business Administration
662,Female,B.Tech,Mechanical Engineering,Research,"Communication Skills, Team work",0.365079365,0,No,Masters in Data Analytics
671,Female,BBA ,Civil Engineering,"Sales/Marketing, Trading, Entrepreneurship","Creativity Skills, Sales",0.46031746,0,no courses opted,Masters in Business Administration
674,Female,B.Sc,Business Administration,Home interior design,Designing skills,0.396825397,1,Java,mba
681,Female,B.Tech,Automobile Engineering,Machine Learning,Python;SQL,0.507936508,1,Internship in innodatatics,Master of technology
682,Female,B.Tech,"Reporting, Anchoring, Tv Journalism, Advertising & Radio ",Software,"ML, Python, SQL, R",0.507936508,1,Internship in innodatatics,Masters in Computer Science
697,Female,B.Com,Commerce,Financial Analysis,"Communication Skills, Work under Pressure, Team work, Problem Solving skills",0.555555556,0,No,Masters in Business Administration
698,Male,B.Tech,Electrical and Electronics Engineering,Further Studies,NO,0.587301587,0,No,M.Tech ( Master of Technology )
705,Male,B.Sc,Computer Science Engineering,Teaching,C++,0.793650794,1,Pgdca,Masters in Mathematics
708,Male,B.Tech,Civil Engineering,Construction and development,"Creativity Skills, Risk Managing, Reporting, Reading, Subject Knowledge",0.666666667,0,No,Masters in civil engineering
710,Female,B.Tech,Sales & Marketing,Technology,"AI, ML, Python",0.619047619,0,No,Masters in Data Science
727,Male,B.Sc,Biological sciences ,Financial Analysis;Data analytics,Accounting Skills;Active Listening;Critical Thinking;Business Knowledge;Analytical Skills;Finance related skills;People management;Communication skills;Machine Learning skills,0.714285714,0,No,Master of Finance 
734,Male,B.Tech,Civil Engineering,"Financial Analysis, Research, Technology, Entrepreneurship","Active Listening, AI, ML, Python, Critical Thinking, Analytic Thinking, SQL, Programming, Communication Skills, Leadership, Market Study, Team work, Tableau",0.746031746,1,Data visualization Using Tableau,mtech in structural engg
738,Male,B.Com,Accountancy,"Financial Analysis, Take risk for Profits, Trading, Entrepreneurship, Understand Human Behaviour","Accounting Skills, Gathering Informing, Business Knowledge, People Management, Communication Skills, Editing, Cost Accounting, Market Study, Team work, Excel, Logical Skills, Presentation Skills, Wealth Management, Problem Solving skills, Writing, Risk Managing, Reading, Sales, Subject Knowledge",0.53968254,0,I am doing internship in fundamental analysis,Masters in Business Administration
742,Female,B.Sc,Computer Science,Data scientist,Active Listening;Programming Language skills;Communication skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;Artificial Intelligence;SQL;Medical knowledge,0.476190476,1,Data science and Artificial intelligence ,MSc computer science 
770,Female,B.Com,Marketing,News Coverage;Research;Social Justice;Technology;Understand human behaviour;Govt. Job;Digital marketing,Active Listening;Gathering Information;Artistic/Creative Skills;Communication skills;Negotiation skills;Medical knowledge,0.365079365,1,Research Analysts,Masters in Commerce
775,Female,B.Sc,Computer Science Engineering,"Sales/Marketing, Technology, Entrepreneurship, Understand Human Behaviour","Python, Java, SQL, Oracle, Programming, Logical Skills, C++, Writing, Sales",0.571428571,1,Ed spread courses ,Masters in Computer Applications
795,Male,BBA ,Accountancy,Financial Analysis,"Accounting Skills, Python, Analytic Thinking, Gathering Informing, Business Knowledge, Cost Accounting, Sales",0.825396825,1,CIMA,Masters in Accounting
824,Male,B.Tech,Electrical and Electronics Engineering,Data analytics,Analytical Skills;Editing;Python;MATLAB,0.444444444,1,Certificated course in Data Science with Python and R,masters in electrical engineering 
826,Male,BA,Economics,Web Designing;Data analytics;Web development,Programming Language skills;Analytical Skills;Python;Good communication skills,0.412698413,1,1 programming foundation- fundamental 2. Database 3. HTML 4. Full stack and front end,MA economic
831,Female,B.Sc,Computer Science Engineering,Technology,Teaching,0.523809524,0,No,MCA
833,Female,BA,BA in Home Science,Research;Social Justice;Understand human behaviour;Content Writing;Govt. Job;Home interior design;Gardening;Infrastructure;Social causes,Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Analytical Skills;People management;Communication skills;Leadership;Editing;Problem Solving skills;Risk management skills;Writing skills;C++;Presentation Skills;Content creation;Good communication skills,0.634920635,1,PGDCA,MSW (master's in social work) 
834,Female,BA,"English, ecoNAmics",Teaching,Teaching,0.396825397,1,Tally,MA in economics
836,Male,BCA,Python ,Research;Technology;Trading;Supply Chain Analysis;Web Designing;Data analytics;Retailer;Data scientist;Web development;All fields related to Data science.;Information Technology;Machine Learning;Excel,Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Analytical Skills;Product knowledge;Problem Solving skills;C++;Python;SQL;Java;Cloud Computing;PHP;Programming Language C;Javascript,0.587301587,0,No,Masters in computer application 
838,Female,B.Sc,Mathematics,Data scientist,Critical Thinking;Gathering Information;Analytical Skills;Python;Artificial Intelligence;SQL,0.285714286,1,Data scientist,Masters in mathematics
843,Male,B.Com,Principal of business management,News Coverage;Research;Trading;Understand human behaviour;Content Writing;Data analytics;Game industry,Accounting Skills;Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Analytical Skills;People management;Leadership;Hospitality;HR,0.857142857,0,No,MBA
846,Male,BE,Electrical and Electronics Engineering,Further Studies,NO,0.714285714,0,No,M.Tech ( Master of Technology )
847,Male,B.Sc,Computer Science Engineering,Technology;Data analytics;Data scientist;All fields related to Data science.,Programming Language skills;Analytical Skills;Leadership;Problem Solving skills;Machine Learning skills;C++;Python;SQL;Java;Good communication skills,0.253968254,0,No,Master in Computer Application
852,Female,B.Com,Accountancy,Financial Analysis,Accounting Skills,0.349206349,0,No,Masters in Banking & Financial Institutions
857,Male,BE,Automobile Engineering,"Technology, Racing ","Critical Thinking, People Management, Work under Pressure, Leadership, Team work, Observation Skills",0.507936508,1,Motorsports Engineering Crash Course ,Masters in Business Administration
859,Female,BA,English literature ,Govt. Job,Artistic/Creative Skills,0.444444444,0,No,Master in English Literature 
860,Female,B.Sc,Mathematics,Research;Web Designing;Data analytics;Govt. Job;Digital marketing;Data scientist;Web development;All fields related to Data science.;Information Technology;Machine Learning,Accounting Skills;Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Analytical Skills;Communication skills;Leadership;Editing;Problem Solving skills;Risk management skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;C++;Presentation Skills;R;Python;Good communication skills;Programming Language C,0.698412698,1,Typewriting English Junior,M.Sc Mathematics
866,Male,B.E,Automobile Engineering,Social Justice,Team work,0.73015873,0,No,masters in Automobile engineering 
881,Male,B.Com,M.com(Management and marketing),Financial Analysis;Sales/Marketing;Govt. Job;Digital marketing,Critical Thinking;Gathering Information;Business Knowledge;People management;Communication skills;Negotiation skills;Mass Communication;Leadership;Problem Solving skills;Risk management skills;Sales;Social Media Marketing,0.476190476,0,No,mcom
890,Female,B.Com,Commerce,Entrepreneurship,"Leadership, Product Knowledge, Interpersonal Skills, Sales",0.825396825,0,not possible ,Masters in Accounting
900,Male,B.Tech,Chemical Engineering,"Financial Analysis, News Coverage, Research, Social Justice, Teaching, Technology, Understand Human Behaviour","Active Listening, ML, Python, Critical Thinking, Analytic Thinking, Gathering Informing, Artistic skills, Business Knowledge, Java, SQL, Oracle, Programming, People Management, Communication Skills, Work under Pressure, Leadership, News Gathering, Editing, Product Knowledge, Creativity Skills, Excel, Interpersonal Skills, Presentation Skills, Wealth Management, Problem Solving skills, Mass Communication, Writing, Risk Managing, Designing Skills",0.571428571,1,"Nptel, Coursera",Masters in Data Analytics
901,Female,BMS,Sales & Marketing,Teaching,"Reading, Sales",0.634920635,0,No,Masters in Management
904,Female,Arts,Literature,"Research, Teaching","Critical Thinking, Communication Skills, Leadership, Team work, Writing",0.492063492,0,No,Masters in Arts & Literature
